source_name,source_party,source_state,target_name,target_party,target_state,distance
Tom Lackey,Republican,ca,Brian Jones,Republican,ca,0.022085066197314384
Tom Lackey,Republican,ca,Patricia Bates,Republican,ca,0.13874148686936816
Tom Lackey,Republican,ca,Devon Mathis,Republican,ca,0.14791045975637612
Tom Lackey,Republican,ca,Rudy Salas,Democratic,ca,0.1486896176643539
Neil Breslin,Democratic,ny,Anthony Rodriguez,Republican,fl,0.0
Neil Breslin,Democratic,ny,Geraldine Valentino-Smith,Democratic,md,0.0
Neil Breslin,Democratic,ny,James Morefield,Republican,va,0.0
Neil Breslin,Democratic,ny,Angie Hatton,Democratic,ky,0.0
Verlina Reynolds-Jackson,Democratic,nj,Lena Taylor,Democratic,wi,0.05020069251620966
Verlina Reynolds-Jackson,Democratic,nj,Mark Spreitzer,Democratic,wi,0.08391332793585432
Verlina Reynolds-Jackson,Democratic,nj,Tina Davis,Democratic,pa,0.10954059035326194
Verlina Reynolds-Jackson,Democratic,nj,Kelda Roys,Democratic,wi,0.14327352654138478
Mike Osburn,Republican,ok,Jason Elliott,Republican,sc,0.024323381535531114
Mike Osburn,Republican,ok,Jack W. Williams,Republican,al,0.08095600476409334
Mike Osburn,Republican,ok,Adam Koenig,Republican,ky,0.08199741548005424
Mike Osburn,Republican,ok,Max Wise,Republican,ky,0.08413801028029276
Derwin Montgomery,Democratic,NC,Sandra Scott,Democratic,ga,0.030633306308225215
Derwin Montgomery,Democratic,NC,Lori Berman,Democratic,fl,0.03101140353444707
Derwin Montgomery,Democratic,NC,Richard Stark,Democratic,FL,0.04394227005486642
Derwin Montgomery,Democratic,NC,Valerie Foushee,Democratic,nc,0.0467005822950828
Kim King,Republican,ky,Adam Morgan,Republican,sc,0.029955310726389933
Kim King,Republican,ky,Mark Hart,Republican,ky,0.033367619980322984
Kim King,Republican,ky,Richie Yow,Republican,sc,0.06234282660117669
Kim King,Republican,ky,Ken Upchurch,Republican,ky,0.06762474053602402
Eric Pratt,Republican,mn,Dean Urdahl,Republican,mn,0.028792567761958363
Eric Pratt,Republican,mn,Ron Reynolds,Democratic,tx,0.02999466403251766
Eric Pratt,Republican,mn,Sarah Eckhardt,Democratic,tx,0.03447288347783207
Eric Pratt,Republican,mn,Donna Howard,Democratic,tx,0.03715426180726414
Burt Jones,Republican,ga,Julia C. Howard,Republican,nc,0.014138422979778645
Burt Jones,Republican,ga,Butch Miller,Republican,ga,0.022766597451006926
Burt Jones,Republican,ga,Terry Rogers,Republican,GA,0.024944424199632657
Burt Jones,Republican,ga,Jon Hardister,Republican,nc,0.02525892044669374
Joyce Elliott,Democratic,ar,Faith Winter,Democratic,co,0.01040232611933337
Joyce Elliott,Democratic,ar,Emma Mulvaney-Stanak,Independent,vt,0.04289775244103779
Joyce Elliott,Democratic,ar,Chris Hansen,Democratic,co,0.05184309586214053
Joyce Elliott,Democratic,ar,Daneya Esgar,Democratic,co,0.06558927033894753
Jacey Jetton,Republican,tx,Gary Gates,Republican,tx,0.0
Jacey Jetton,Republican,tx,Larry Taylor,Republican,tx,0.0
Jacey Jetton,Republican,tx,Cole Hefner,Republican,tx,0.0
Jacey Jetton,Republican,tx,Todd Ames Hunter,Republican,tx,9.422705951170504e-05
Terry Canales,Democratic,tx,Toni Rose,Democratic,tx,0.1462112897950743
Cindy Rosenwald,Democratic,nh,Shannon Chandley,Democratic,NH,0.01762696592540241
Cindy Rosenwald,Democratic,nh,Cam Kenney,Democratic,nh,0.0249719463551331
Cindy Rosenwald,Democratic,nh,Chuck Grassie,Democratic,nh,0.05788524133357517
Cindy Rosenwald,Democratic,nh,Ed Butler,Democratic,NH,0.06120527460654206
Kathy Szeliga,Republican,md,Neil Parrott,Republican,md,0.14917038221852694
